id,expression,meaning,example_en,example_ja
201,hang out,遊ぶ,We should hang out sometime.,今度遊ぼう。
202,check out,見てみる,You should check this place out.,この場所見てみたほうがいいよ。
203,look forward to,楽しみにする,I’m looking forward to it.,それを楽しみにしている。
204,show up,現れる,He didn’t show up.,彼は来なかった。
205,stay up,夜更かしする,I stayed up too late.,夜更かししすぎた。
206,wrap up,締める,Let’s wrap this up.,これを締めよう。
207,miss out,逃す,I don’t want to miss out.,逃したくない。
208,make it,間に合う,I barely made it.,ギリギリ間に合った。
209,pass out,寝落ちする,I passed out on the couch.,ソファで寝落ちした。
210,hold on,待つ,Hold on a second.,ちょっと待って。
211,look back on,振り返る,I look back on those days.,あの頃を振り返る。
212,come back,戻る,I’ll come back later.,後で戻る。
213,cut back on,減らす,I’m cutting back on sugar.,砂糖を控えている。
214,drop by,立ち寄る,I’ll drop by later.,後で立ち寄る。
215,fill in,補足する,Let me fill you in.,補足するね。
216,get along,仲良くする,We get along well.,私たちは仲がいい。
217,get back to,返事する,I’ll get back to you.,後で返事する。
218,go through,経験する,I went through a lot.,大変な経験をした。
219,keep up,ついていく,I can’t keep up.,ついていけない。
220,let go,手放す,You need to let go.,手放す必要がある。
221,open up,心を開く,He finally opened up.,彼はやっと心を開いた。
222,pull off,やり遂げる,She pulled it off.,彼女はやり遂げた。
223,reach out,連絡する,I reached out to him.,彼に連絡した。
224,settle down,落ち着く,He wants to settle down.,彼は落ち着きたいと思っている。
225,turn down,断る,I turned it down.,断った。
226,turn up,現れる,He turned up late.,彼は遅れて現れた。
227,wait on,待つ,I’m waiting on a reply.,返事待ちだ。
228,wind down,落ち着く,Let’s wind down.,落ち着こう。
229,work on,取り組む,I’m working on it.,それに取り組んでいる。
230,zone out,ぼーっとする,I zoned out.,ぼーっとしてた。
231,approach,取り組み方,That’s one approach.,それも一つのやり方だ。
232,attitude,態度,I like your attitude.,その態度いいね。
233,background,背景,What’s your background?,経歴は？
234,boundary,境界,Set boundaries.,境界線を引こう。
235,challenge,課題,It’s a challenge.,課題だ。
236,choice,選択,It’s your choice.,君の選択だ。
237,comfort zone,安心領域,Step out of your comfort zone.,安心領域から出よう。
238,commitment,約束,That’s a big commitment.,大きな約束だ。
239,consequence,結果,There are consequences.,結果が伴う。
240,conversation,会話,Good conversation matters.,良い会話は大事。
